Id,Name,Address,Lat,Lng,Value
86,Pizza Hut Av. Dos Estados,Av. Dos Estados‚ 6943 - Parque Central - Santo André – SP,-23.6451189,-46.5330191,
87,Pizza Hut Avaré,Av. Maj. Rangel‚ 1800 – Centro – Avaré – SP,-23.0975122,-48.9212246,
88,Pizza Hut Butantã,Av. Prof. Francisco Morato‚ 860 – Butantã - São Paulo – SP,-23.5785628,-46.7120914,
89,Pizza Hut Vila Moinho Velho,Av. Pres. Tancredo Neves‚ 525 - Lojas 7‚ 8 E 9 - Vila Moinho Velho - São Paulo – SP,-23.608955,-46.6087171,
90,Pizza Hut Presidente Prudente,Av. Quatorze De Setembro‚ 918 - Vila Industrial - Presidente Prudente – SP,-22.1335061,-51.3988652,
91,Pizza Hut Taubaté,Av. Charles Schnneider‚ 1400 - Parque Sr. Do Bonfim – Taubaté – SP,-23.0239638,-45.5827364,
92,Pizza Hut Assis,Av. Rui Barbosa‚ 827 – Centro – Assis – SP,-22.6617127,-50.4145288,
93,Pizza Hut Mall Suzano,R. Sete De Setembro‚ 555 - Jardim Dos Ipês – Suzano – SP,-23.5419764,-46.321248,
94,Pizza Hut Diadema Centro,R. Manoel Da Nóbrega‚ 855 - Parque Imigrantes – Diadema – SP,-23.6926453,-46.6250102,
95,Pizza Hut Santana,Rua Alfredo Pujol‚ 1190 - São Paulo – SP,-23.5002019,-46.6401706,
96,Pizza Hut Cantareira Norte Shopping,Av. Raimundo Pereira De Magalhães‚ 11001 - Jardim Pirituba - São Paulo – SP,-23.4435922,-46.7241231,
97,Pizza Hut Iguatemi Campinas,Avenida Iguatemi‚ 777 – Vila Brandina – Campinas – SP,-22.8924607,-47.0300909,
98,Pizza Hut Parque Dom Pedro Shopping,Avenida Guilherme Campos‚ 500 – Loja F31 – Parque das Flores – Campinas – SP,-22.8481958,-47.0657621,
99,Pizza Hut Norte Sul (Relo),Av. José de Souza Campos‚ 900 – Cambuí – Campinas – SP,-22.8976661,-47.0493982,
100,Pizza Hut Chácara Primavera,Rua Jorge de Figueiredo Corrêa‚ 1727 – Chácara Primavera – Campinas – SP,-22.8561834,-47.0487901,
101,Pizza Hut Shopping Prado Boulevard,Av. Washington Luis‚ 2480 – Vila Marieta – Campinas – SP,-22.9346642,-47.054206,
102,Pizza Hut Barão Geraldo,Avenida Albino J. B. de Oliveira‚ 1480 – Barão Geraldo – Campinas – SP,-22.8252084,-47.0819025,
103,Pizza Hut Parque das Bandeiras,Avenida John Boyd Dunlop‚ 3900 – Cidade Satélite Iris – Campinas – SP,-22.9254442,-47.1298034,
104,Pizza Hut Araraquara,Av. Bento de Abreu‚ 930 – Araraquara – SP,-21.7732164,-48.1753557,
